PID,Process,RiskScore,RiskLevel,Confidence,EvidenceCount,PrimaryTechnique,Indicators,IndicatorsFull
7888,powershell.exe,100,CRITICAL,High — Three independent evidence sources,3,T1562.001,AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell,"[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
3288,SOAPHound.exe,90,CRITICAL,Medium — Single evidence source,1,—,Known offensive tool: SOAPHound.exe,[ 90pts] Known offensive tool: SOAPHound.exe: Exact name match against curated malicious toolset database. High specificity — this executable should never exist on a healthy system.
6276,SOAPHound.exe,90,CRITICAL,Medium — Single evidence source,1,—,Known offensive tool: SOAPHound.exe,[ 90pts] Known offensive tool: SOAPHound.exe: Exact name match against curated malicious toolset database. High specificity — this executable should never exist on a healthy system.
9608,powershell.exe,25,MEDIUM,Medium — Single evidence source,1,—,"Spawned by high-risk parent (PID 7888, score 100)","[ 25pts] Spawned by high-risk parent (PID 7888, score 100): Process chain: this process was created by PID 7888 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
4200,powershell.exe,25,MEDIUM,Medium — Single evidence source,1,—,"Spawned by high-risk parent (PID 7888, score 100)","[ 25pts] Spawned by high-risk parent (PID 7888, score 100): Process chain: this process was created by PID 7888 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
9864,powershell.exe,25,MEDIUM,Medium — Single evidence source,1,—,"Spawned by high-risk parent (PID 7888, score 100)","[ 25pts] Spawned by high-risk parent (PID 7888, score 100): Process chain: this process was created by PID 7888 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
7684,notepad.exe,10,LOW,Medium — Single evidence source,1,—,"Spawned by medium-risk parent (PID 9864, score 25)","[ 10pts] Spawned by medium-risk parent (PID 9864, score 25): Parent PID 9864 has risk score 25/100."
9780,notepad.exe,10,LOW,Medium — Single evidence source,1,—,"Spawned by medium-risk parent (PID 9608, score 25)","[ 10pts] Spawned by medium-risk parent (PID 9608, score 25): Parent PID 9608 has risk score 25/100."
9912,CalculatorApp.,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
6148,ApplicationFra,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
6564,SystemSettings,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
5008,SgrmBroker.exe,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
664,WerFault.exe,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
2628,OfficeClickToR,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
1736,PhoneExperienc,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
9744,SystemSettings,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
